id,name,code,created_at,updated_at
1,Automation,1,2024-08-13 10:21:21.40039+05:30,2024-08-13 10:21:21.40039+05:30
2,Maintenance,2,2024-08-13 10:21:32.132122+05:30,2024-08-13 10:22:18.740304+05:30
3,Process,3,2024-08-13 10:22:31.65595+05:30,2024-08-13 10:22:31.65595+05:30
4,Production,4,2024-08-13 10:22:55.389694+05:30,2024-08-13 10:22:55.389694+05:30
5,Production - Training,5,2024-08-13 10:23:05.426415+05:30,2024-08-13 10:23:05.426415+05:30
6,Ptd,6,2024-08-13 10:23:18.55862+05:30,2024-08-13 10:23:18.55862+05:30
7,Quality Assurance,7,2024-08-13 10:23:28.56884+05:30,2024-08-13 10:23:28.56884+05:30
8,Shared Channel,8,2024-08-13 10:23:38.202266+05:30,2024-08-13 10:23:38.202266+05:30
9,Tooling,9,2024-08-13 10:23:48.090948+05:30,2024-08-13 10:23:48.090948+05:30
